name,TestCaseName,Scenario,email,host,age,testResult,responseStatusCode,rawRequestBody,rawResponseBody,requestBody,responseBody
Gokul,TestCase_1_Happy_Path,Positive,gokul@test.com,gokul@test.com,25,PASSED,200,"{
  ""name"": ""Gokul"",
  ""email"": ""gokul@test.com"",
  ""age"": 25
}","{""args"":{},""data"":{""name"":""Gokul"",""email"":""gokul@test.com"",""age"":25},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""user-agent"":""PostmanRuntime/7.39.1"",""accept"":""*/*"",""accept-encoding"":""gzip, br"",""postman-token"":""7e00ee31-278a-431d-9dd4-2ebd48a4bfd6"",""x-forwarded-proto"":""https"",""cache-control"":""no-cache"",""content-length"":""63"",""content-type"":""application/json""},""json"":{""name"":""Gokul"",""email"":""gokul@test.com"",""age"":25},""url"":""https://postman-echo.com/post""}","{
  ""name"": ""Gokul"",
  ""email"": ""gokul@test.com"",
  ""age"": 25
}","{""args"":{},""data"":{""name"":""Gokul"",""email"":""gokul@test.com"",""age"":25},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""1d4e8f60-32ea-4cd7-a51f-444ecf28df35"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3Agzap0c0DF6uuDPZN6q1M43AcFNolbTEE.M6A%2F3PpU77Cnc6uBFgoWZc3zfi4oiTsbs%2BkD0ONaR4k; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Gokul"",""email"":""gokul@test.com"",""age"":25},""url"":""https://postman-echo.com/post""}"
Arun,TestCase_1_Happy_Path,Positive,,arun@test.com,30,PASSED,200,"{
  ""name"": ""Arun"",
  ""email"": ""arun@test.com"",
  ""age"": 30
}","{""args"":{},""data"":{""name"":""Arun"",""email"":""arun@test.com"",""age"":30},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""254417f5-fb7a-421a-b061-53eda0057493"",""content-length"":""61"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AVA9ZybfHcDuYtCnFztvmy1D_eLwlUdV9.LiEuaHbTn6Sz0g1wYLHIoi4FkYHeXVIvXS%2F33XNIEs0; __cf_bm=kZsVJ6FVzYV0.Ze_B1uXk7aeFgtqEO0j9POQSk4uVKM-1779609172.1106215-1.0.1.1-THLmKQZOFPFtA8Axj7Mo4ePRayPuf2QgCshdJ.bKhCQfmOjqVd0I05_veiB8mvJBcbVJZd3yCRVgYRTNRtyxnA09nLEMTzHGEN0aW3D3TqExFcetbsE1XfTZDB2cGeTw; _cfuvid=ZNxfrTnvvuoBX4KCB4C0nOWOJlN1yPwdLgi1NSgnmCQ-1779609172.1106215-1.0.1.1-4EMY6HX7qYGeKl3BpdnR7PEslrMxCEorOJsmkJByZWY""},""json"":{""name"":""Arun"",""email"":""arun@test.com"",""age"":30},""url"":""https://postman-echo.com/post""}","{
  ""name"": ""Arun"",
  ""email"": """",
  ""age"": 30
}","{""args"":{},""data"":{""name"":""Arun"",""email"":"""",""age"":30},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""d502f6c7-f241-4d72-b170-3715046d78b4"",""content-length"":""48"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AvMdNNgp0SreZxdUUfhr421b7YuRyT2Kg.l2QWMYGaPHCgv3%2FIzfvkL1Vx3aiNn56t4Fba8PViwDM; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Arun"",""email"":"""",""age"":30},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_2_Happy_Path,Positive,priya@test.com,priya@test.com,28,PASSED,200,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 28
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":28},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""c02093a7-7ac2-4a2d-9ee8-e56edd350bc9"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AZWismzMqF-5nyZLBMQrbyO4uNJHujwXn.dlCwWhnU8KgPthGR6gCQJltQ4msFSgoS9MGFmkzgvoE; __cf_bm=kZsVJ6FVzYV0.Ze_B1uXk7aeFgtqEO0j9POQSk4uVKM-1779609172.1106215-1.0.1.1-THLmKQZOFPFtA8Axj7Mo4ePRayPuf2QgCshdJ.bKhCQfmOjqVd0I05_veiB8mvJBcbVJZd3yCRVgYRTNRtyxnA09nLEMTzHGEN0aW3D3TqExFcetbsE1XfTZDB2cGeTw; _cfuvid=ZNxfrTnvvuoBX4KCB4C0nOWOJlN1yPwdLgi1NSgnmCQ-1779609172.1106215-1.0.1.1-4EMY6HX7qYGeKl3BpdnR7PEslrMxCEorOJsmkJByZWY""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":28},""url"":""https://postman-echo.com/post""}","{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 28
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":28},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""adbb8c7c-e9e5-41c7-8b69-8658917324df"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AlkjGtXuJdrGCitToakHkSBm3ojCvEtuf.xwu0eDjy43Rs0M1GSNVVpd6j2AcoEcugAvbo6p%2Bt%2Ft4; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":28},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_3_Happy_Path,Positive,priya@test.com,priya@test.com,29,PASSED,200,,,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 29
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":29},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""f49e8c8d-f229-4149-a93e-ae6abeaf3760"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AbQlfCMxUYwqwKHszB6vjdcUGltAkiyVg.ciMNGpNRa1y0UUHffj88M64tIBa5C2KBUZw8Q13UBwg; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":29},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_4_Happy_Path,Positive,priya@test.com,priya@test.com,30,PASSED,200,,,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 30
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":30},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""52cb1472-4ec6-49d1-aeaf-78d967e946db"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AvoObN3gBMUOrDYz1dwqYhG7lur7gMBT-.wbj9RjARAK3uNmOEHWYsSnGLg0%2B6mxQ90DR%2FeTdL7kc; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":30},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_5_Happy_Path,Positive,priya@test.com,priya@test.com,31,PASSED,200,,,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 31
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":31},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""1100d5ad-17c1-4fa8-b070-2b12c71d9c1a"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AGtczhgsgQwho2J3FT5rGs-ciqc99nOtG.BbOVuzj972r5xFJSvUkPLVc2w15qjcBwQJkEaHEWN9Q; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":31},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_6_Happy_Path,Positive,priya@test.com,priya@test.com,32,PASSED,200,,,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 32
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":32},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""387c5aad-e761-4106-83db-ff22248d3a2c"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3A_NB7WvftlwArwRe3lQXf5A6XxzkaAeCH.HWQ%2Fhyus83zOCJ5t0jG52qhTtvz6WLkvUYdWEeDoHbY; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":32},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_7_Happy_Path,Positive,priya@test.com,priya@test.com,33,PASSED,200,,,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 33
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":33},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""8a0bf9ea-f4b8-49cd-ae25-7948851a34ba"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3ATTtaqjGos_wT4dSzOnMQS5E0hnVM-SyI.7twD5l3uOctSa33KRNXKmkWh%2BM%2BFpw5WB9NdkwP2bK8; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":33},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_8_Happy_Path,Positive,priya@test.com,priya@test.com,34,PASSED,200,,,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 34
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":34},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""b7c29f32-4f8d-4f63-9f72-2317e48bf2c7"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3ANKiSItRjIeYyjyKAfVi5NCp8An5dQpD4.4MPb9KDvtDsOjb3%2FRqGjybZigVct5TuaMjQWd1yJcmk; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":34},""url"":""https://postman-echo.com/post""}"
Priya,TestCase_9_Happy_Path,Positive,priya@test.com,priya@test.com,35,PASSED,200,,,"{
  ""name"": ""Priya"",
  ""email"": ""priya@test.com"",
  ""age"": 35
}","{""args"":{},""data"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":35},""files"":{},""form"":{},""headers"":{""host"":""postman-echo.com"",""accept"":""*/*"",""cache-control"":""no-cache"",""accept-encoding"":""gzip, br"",""x-forwarded-proto"":""https"",""postman-token"":""b42f70dd-0b52-45d9-a912-1e30a6f9e51e"",""content-length"":""63"",""content-type"":""application/json"",""user-agent"":""PostmanRuntime/7.39.1"",""cookie"":""sails.sid=s%3AdNjac__y429gKiQpVi7e05AhMXhP6B3i.XTgssCeVROSQdYjkCly0dT%2BjdzlmMrG%2FCOsRafLTC7o; __cf_bm=hntDkwtytw3LeeSzzSVDbWXeHiUihXhbqGP7Q08AViU-1780854074.675985-1.0.1.1-ZGk.KPIbG352A1jXW1W0DhUViE6WWRWXgbgJ6q9jxd.NAjpRj0gya.52A0qjLquABgonh462CCsp8qnEfpP.MSCpC7LZDY80lclvlYytt3BIMasDx677yvI3kNhbTd0F; _cfuvid=YHr72kVT9NTWurJr8vl9j5Yr_9QHtpZk3TStgRbXDTY-1780854074.675985-1.0.1.1-LDCpkimHswxIYgkNMCQvnrTp6xDIcATrID0AIbmN4gI""},""json"":{""name"":""Priya"",""email"":""priya@test.com"",""age"":35},""url"":""https://postman-echo.com/post""}"
